code,year,KOFGI,KOFGIdf,KOFGIdj,KOFEcGI,KOFEcGIdf,KOFEcGIdj,KOFTrGI,KOFTrGIdf,KOFTrGIdj,KOFFiGI,KOFFiGIdf,KOFFiGIdj
HUN,1980,52.6725463867188,56.0397033691406,49.3053932189941,45.5508270263672,48.3890037536621,42.7126502990723,55.6162719726563,52.0050048828125,59.2275390625,35.4853820800781,44.773006439209,26.1977596282959
HUN,1981,53.2697067260742,56.0510482788086,50.4883575439453,45.772029876709,48.488883972168,43.0551719665527,55.7361679077149,52.3968734741211,59.0754623413086,35.8078842163086,44.5808906555176,27.0348796844482
HUN,1982,53.777027130127,56.2076377868652,51.3463973999023,46.4826164245606,49.1348609924317,43.8303642272949,56.8238029479981,53.767578125,59.8800354003906,36.141414642334,44.5021362304688,27.7806968688965
HUN,1983,53.9336013793945,56.3137512207031,51.5534629821777,46.742057800293,49.7276420593262,43.7564735412598,56.8553848266602,54.922046661377,58.7887229919434,36.6287307739258,44.5332412719727,28.7242202758789
HUN,1984,53.3599662780762,54.8820686340332,51.8378486633301,47.0578918457031,49.2975425720215,44.8182525634766,57.1497383117676,54.0963096618652,60.203182220459,36.9660491943359,44.4987754821777,29.4333209991455
HUN,1985,53.6254081726074,55.2005271911621,52.0503005981445,46.8189888000488,48.582088470459,45.0558891296387,56.6177711486817,52.9074897766113,60.3280487060547,37.020206451416,44.2566833496094,29.783727645874
HUN,1986,53.3592262268066,55.1954917907715,51.5229682922363,46.2772064208984,47.8704299926758,44.6839828491211,55.6508865356445,51.7694702148438,59.5323028564453,36.9035224914551,43.9713859558105,29.8356628417969
HUN,1987,56.1419372558594,55.1542434692383,57.1296234130859,49.9131317138672,47.3264274597168,52.4998435974121,55.1230163574219,50.8148880004883,59.4311408996582,44.7032585144043,43.8379745483398,45.5685386657715
HUN,1988,58.4121551513672,61.7720336914063,55.0522956848145,51.0092658996582,47.5121612548828,54.5063743591309,55.726993560791,51.2038230895996,60.2501678466797,46.2915382385254,43.8204917907715,48.7625846862793
HUN,1989,58.3725051879883,62.4034233093262,54.3415756225586,51.2190132141113,46.6222343444824,55.815788269043,54.9764213562012,49.4952621459961,60.4575805664063,47.4616012573242,43.7492027282715,51.1739959716797
HUN,1990,60.3600463867188,65.8712539672852,54.8488578796387,50.3952178955078,45.3032455444336,55.4871711730957,53.3269233703613,46.8434028625488,59.810432434082,47.463493347168,43.7630844116211,51.1639060974121
HUN,1991,61.8020210266113,65.5547790527344,58.049259185791,50.5268287658691,44.9524803161621,56.1011619567871,53.4237213134766,46.1720657348633,60.6753692626953,47.6299247741699,43.7328948974609,51.5269546508789
HUN,1992,64.2369995117188,67.2710494995117,61.2029571533203,51.9611930847168,46.907283782959,57.0150985717774,54.2110939025879,46.3789405822754,62.0432434082031,49.7112922668457,47.4356346130371,51.986946105957
HUN,1993,66.3553848266602,66.9895248413086,65.7212448120117,53.3173751831055,46.9069023132324,59.727840423584,53.1762313842773,42.8812026977539,63.4712638854981,53.4585113525391,50.9326095581055,55.9844169616699
