iso2c,country,year,sl.ind.empl.zs,SL.AGR.EMPL.ZS,SL.SRV.EMPL.ZS,SL.EMP.SELF.ZS,SL.UEM.NEET.ZS,NV.IND.TOTL.ZS,NV.IND.MANF.ZS,BN.CAB.XOKA.GD.ZS,SP.POP.TOTL,ny.gdp.totl.rt.zs,NY.GDP.MKTP.KN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.KN,NY.GDP.PCAP.KD.ZG,NY.GDP.MKTP.KD,NY.GDP.PCAP.KD,NY.GDP.MKTP.CN,NY.GDP.PCAP.CN,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GDP.MKTP.PP.KD,NY.GDP.PCAP.PP.KD,NY.GDP.MKTP.PP.CD,NY.GDP.PCAP.PP.CD
AT,Austria,2009,24.9699993133545,5.32200002670288,69.7080001831055,13.6389999389648,8.1899995803833,25.7928458296062,16.3619956421939,2.57329391345323,8343323,0.181547612996706,290558800000,-3.76458048308088,34825.3088128076,-4.01634234125126,384823180705.023,46123.4906889046,288044020000,34523.8965337912,400172297860.517,47963.1794023217,355899912424.216,42656.8541604126,341463207034.964,40926.5237645676
AT,Austria,2010,24.9080009460449,5.21299982070923,69.8789978027344,13.8120002746582,7.42000007629395,25.5349942466396,16.4785007359327,2.92897814876409,8363404,0.235505613374767,295896640000,1.83709459152502,35379.9290336805,1.59257804102806,391892746544.69,46858.0432733717,295896640000,35379.9290336805,391892746544.69,46858.0432733717,362438130466.604,43336.1978527647,351313540506.591,42006.0468807427
AT,Austria,2011,26.0259990692139,4.93800020217896,69.0370025634766,13.2760000228882,7.28000020980835,25.4474320432043,16.595609061091,1.5760012271108,8391643,0.276408971401189,304545100000,2.92279763636382,36291.4747445762,2.5764486696057,403346978477.779,48065.3167058917,310128660000,36956.8462338067,431120310088.82,51374.9584066934,373031463577.163,44452.7327457999,373031463577.163,44452.7327457999
AT,Austria,2012,26.0799999237061,4.67500019073486,69.245002746582,13.0729999542236,6.80000019073486,25.6339685320435,16.7061233748154,1.50046815754078,8429991,0.262242648319013,306617360000,0.68044437424868,36372.2049050823,0.2224493798455,406091530301.534,48172.2377048248,318653040000,37799.9264767898,409425234155.263,48567.69528642,375569735185.251,44551.6175741173,391635006784.261,46457.3457770311
AT,Austria,2013,25.9080009460449,4.57600021362305,69.5169982910156,13.201000213623,7.32999992370605,25.5249417894219,16.4957293719062,1.9479896101715,8479823,0.238042063536044,306695560000,0.0255041006158336,36167.6841603887,-0.562299550514851,406195100294.014,47901.3654287376,323910200000,38197.754835213,430068712971.867,50716.7087062864,375665520868.395,44301.104028751,406370494341.228,47922.0491207455
AT,Austria,2014,25.7509994506836,4.83699989318848,69.4120025634766,13.2880001068115,7.69999980926514,25.3646396008814,16.5600152509678,2.394817068684,8546356,0.197584250315612,308723660000,0.661274652949004,36123.4261713413,-0.122368877285936,408881165533.779,47842.7490656578,333146070000,38981.0663164511,441996131736.508,51717.4959405515,378149701737.767,44246.8932651257,417059741085.658,48799.7154676985
AT,Austria,2015,25.7639999389648,4.5310001373291,69.7050018310547,12.9969997406006,7.51999998092651,25.1791045049257,16.6939809272979,1.73714037631977,8642699,0.13371655157819,312252310000,1.14298010071532,36129.0275179085,0.015506133168472,413554595891.403,47850.1676260394,344258510000,39832.2919726812,381805676697.707,44176.6717431334,382471877579.544,44253.7542473183,431078062957.755,49877.7133112879
AT,Austria,2016,25.5629997253418,4.34800004959106,70.088996887207,12.7209997177124,7.69999980926514,25.2018351011189,16.7096038349013,2.47475969121428,8736668,0.112891415219012,318620930000,2.03957498344849,36469.3874140576,0.942067693298526,421989351972.106,48300.9485964335,356237590000,40774.9945402526,394052818287.788,45103.3298149578,390272678313.382,44670.654569154,451296980860.541,51655.5030888825
AT,Austria,2017,24.9220008850098,3.9300000667572,71.1480026245117,12.3769998550415,6.53999996185303,25.2769558796253,16.6349927197728,1.9181542458749,8797566,0.139470140499318,326748570000,2.55088075977935,37140.7921236397,1.84100901383178,432753797159.88,49190.1734138601,369899170000,42045.6260288357,416835975862.193,47380.8296365373,400228068975.153,45493.0453463098,474006678908.77,53879.2978545168
AT,Austria,2018,24.6749992370605,3.8970000743866,71.4290008544922,12.3009996414185,,,,,,,,,,,,,,,,,,,,
